english,russian,transcription,example,category,level
step,шагнуть,[stɛp],A perfect step is hard to find,Путешествия и движение,B1
roll,катиться,[rəʊl],The roll inspires creativity,Путешествия и движение,B1
ride,ехать,[raɪd],We finished rideing at noon,Путешествия и движение,A2
lift,поднимать,[lɪft],She started lifting early,Путешествия и движение,B1
jump,прыгать,[ʤʌmp],They continued jumping despite difficulties,Путешествия и движение,A2
approach,приближаться,[əˈprəʊʧ],The approach deserves recognition,Путешествия и движение,B1
cross,пересекать,[krɒs],He was crossing all day,Путешествия и движение,A2
climb,лезть,[klaɪm],The climb provides comfort,Путешествия и движение,A2
bear,нести,[beə],She has beared many times,Путешествия и движение,B1
shift,сдвигать,[ʃɪft],They had shifted before,Путешествия и движение,B1
slip,поскальзываться,[slɪp],The delicate slip needs care,Путешествия и движение,B1
rush,торопиться,[rʌʃ],This unique rush stands out,Путешествия и движение,B1
land,приземляться,[lænd],The land is absolutely essential,Путешествия и движение,B1
escape,сбегать,[ɪsˈkeɪp],She escapes more than anyone I know,Путешествия и движение,B1
drag,тащить,[dræg],They draged all night long,Путешествия и движение,B1
slide,скользить,[slaɪd],We should slide before it's too late,Путешествия и движение,B1
toss,бросать,[tɒs],He tosss like a professional,Путешествия и движение,B1
accompany,сопровождать,[əˈkʌmpəni],You need to accompany carefully,Путешествия и движение,B1
swing,раскачивать,[swɪŋ],Please swing when you're ready,Путешествия и движение,B1
advance,продвигаться,[ədˈvɑːns],Your advance is quite impressive,Путешествия и движение,B1
swim,плыть,[swɪm],Their swim costs a fortune,Путешествия и движение,B1
flee,убегать,[fliː],She used to flee all the time,Путешествия и движение,B1
sink,тонуть,[sɪŋk],The best sink I've ever seen,Путешествия и движение,B1
movement,движение,[ˈmuːvmənt],That movement reminds me of home,Путешествия и движение,B1
direction,направление,[dɪˈrɛkʃən],This direction comes from abroad,Путешествия и движение,B1
edge,край,[ɛʤ],The old edge still works perfectly,Путешествия и движение,B1
fall,падение,[fɔːl],A new fall would be nice,Путешествия и движение,A2
access,доступ,[ˈæksɛs],The access broke down yesterday,Путешествия и движение,B1
turn,поворот,[tɜːn],My favorite turn is missing,Путешествия и движение,A1
distance,расстояние,[ˈdɪstəns],Her distance won first prize,Путешествия и движение,B1
return,возвращение,[rɪˈtɜːn],The return speaks for itself,Путешествия и движение,B1
middle,середина,[ˈmɪdl],Every middle has its purpose,Путешествия и движение,A2
path,путь,[pɑːθ],The path exceeded expectations,Путешествия и движение,B1
move,ход,[muːv],Our move brings joy daily,Путешествия и движение,A1
location,местонахождение,[ləʊˈkeɪʃən],That location holds special meaning,Путешествия и движение,B1
front,передняя часть,[frʌnt],The front represents hope,Путешествия и движение,A2
bottom,дно,[ˈbɒtəm],This bottom symbolizes freedom,Путешествия и движение,B1
trail,тропа,[treɪl],A rare trail was discovered,Путешествия и движение,B1
limit,предел,[ˈlɪmɪt],The ancient limit survived centuries,Путешествия и движение,B1
zone,зона,[zəʊn],The modern zone is innovative,Путешествия и движение,B1
motion,движение,[ˈməʊʃən],A perfect motion is hard to find,Путешествия и движение,B1
row,ряд,[rəʊ],The row inspires creativity,Путешествия и движение,B1
length,длина,[lɛŋθ],Our length promotes unity,Путешествия и движение,B1
width,ширина,[wɪdθ],The width offers opportunities,Путешествия и движение,B1
coverage,покрытие,[ˈkʌvərɪʤ],This coverage requires attention,Путешествия и движение,B1
passage,проезд,[ˈpæsɪʤ],The passage deserves recognition,Путешествия и движение,B1
advance,продвижение,[ədˈvɑːns],Every advance contains wisdom,Путешествия и движение,B1
arrangement,расстановка,[əˈreɪnʤmənt],The arrangement provides comfort,Путешествия и движение,B1
drop,падение,[drɒp],A beautiful drop emerged,Путешествия и движение,B1
depth,глубина,[dɛpθ],The powerful depth transformed lives,Путешествия и движение,B1
boundary,граница,[ˈbaʊndəri],The delicate boundary needs care,Путешествия и движение,B1
course,курс,[kɔːs],This unique course stands out,Путешествия и движение,B1
way,путь,[weɪ],The way is absolutely essential,Путешествия и движение,A1
place,место,[pleɪs],My place needs replacing soon,Путешествия и движение,A1
point,точка,[pɔɪnt],Her point caught everyone's attention,Путешествия и движение,A2
area,местность,[ˈeərɪə],This area belongs to my friend,Путешествия и движение,A1
side,сторона,[saɪd],Every side tells its own story,Путешествия и движение,A1
end,конец,[ɛnd],The end arrived right on time,Путешествия и движение,A1
center,центр,[ˈsɛntə],Our center has seen better days,Путешествия и движение,A2
absence,отсутствие,[ˈæbsəns],Your absence is quite impressive,Путешествия и движение,B1
presence,присутствие,[ˈprɛzns],Their presence costs a fortune,Путешествия и движение,B1
corner,угол,[ˈkɔːnə],A good corner makes all the difference,Путешествия и движение,B1
city,город,[ˈsɪti],The best city I've ever seen,Путешествия и движение,A1
town,маленький город,[taʊn],That town reminds me of home,Путешествия и движение,A1
road,дорога,[rəʊd],This road comes from abroad,Путешествия и движение,A1
building,здание,[ˈbɪldɪŋ],The old building still works perfectly,Путешествия и движение,A1
street,улица,[striːt],A new street would be nice,Путешествия и движение,A1
bar,бар,[bɑː],The bar broke down yesterday,Путешествия и движение,B1
station,станция,[ˈsteɪʃən],My favorite station is missing,Путешествия и движение,A2
trip,поездка,[trɪp],Her trip won first prize,Путешествия и движение,A2
hotel,отель,[həʊˈtɛl],The hotel speaks for itself,Путешествия и движение,A1
yard,двор,[jɑːd],Every yard has its purpose,Путешествия и движение,B1
neighborhood,окрестность,[ˈneɪbəhʊd],The neighborhood exceeded expectations,Путешествия и движение,B1
park,парк,[pɑːk],Our park brings joy daily,Путешествия и движение,A1
village,деревня,[ˈvɪlɪʤ],That village holds special meaning,Путешествия и движение,A2
resident,житель,[ˈrɛzɪdənt],The resident represents hope,Путешествия и движение,B1
club,клуб,[klʌb],This club symbolizes freedom,Путешествия и движение,A2
district,округ,[ˈdɪstrɪkt],A rare district was discovered,Путешествия и движение,B1
crowd,толпа,[kraʊd],The ancient crowd survived centuries,Путешествия и движение,A2
block,квартал,[blɒk],The modern block is innovative,Путешествия и движение,B1
shop,магазин,[ʃɒp],A perfect shop is hard to find,Путешествия и движение,A1
construction,строительство,[kənˈstrʌkʃən],The construction inspires creativity,Путешествия и движение,B1
tour,тур,[tʊə],Our tour promotes unity,Путешествия и движение,B1
restaurant,ресторан,[ˈrɛst(ə)ˌrɒŋ],The restaurant offers opportunities,Путешествия и движение,A1
bridge,мост,[brɪʤ],This bridge requires attention,Путешествия и движение,B1
traffic,дорожное движение,[ˈtræfɪk],The traffic deserves recognition,Путешествия и движение,B1
museum,музей,[mju(ː)ˈzɪəm],Every museum contains wisdom,Путешествия и движение,A2
emergency,чрезвычайная ситуация,[ɪˈmɜːʤənsi],The emergency provides comfort,Путешествия и движение,B1
airport,аэропорт,[ˈeəpɔːt],A beautiful airport emerged,Путешествия и движение,B1
address,адрес,[əˈdrɛs],The powerful address transformed lives,Путешествия и движение,B1
beach,пляж,[biːʧ],The delicate beach needs care,Путешествия и движение,A2
opening,открытие,[ˈəʊpnɪŋ],This unique opening stands out,Путешествия и движение,B1
route,маршрут,[ruːt],The route is absolutely essential,Путешествия и движение,B1
post office,почтовое отделение,[pəʊst],My post office needs replacing soon,Путешествия и движение,C1
settlement,поселение,[ˈsɛtlmənt],Her settlement caught everyone's attention,Путешествия и движение,B1
"parking lot, car park",парковка,"[ˈpɑːkɪŋ lɒt], [kɑː pɑːk]","This parking lot, car park belongs to my friend",Путешествия и движение,C2
stop,остановка,[stɒp],Every stop tells its own story,Путешествия и движение,A1
tower,башня,[ˈtaʊə],The tower arrived right on time,Путешествия и движение,B1
mayor,мэр,[meə],Our mayor has seen better days,Путешествия и движение,B2
highway,шоссе,[ˈhaɪweɪ],Your highway is quite impressive,Путешествия и движение,B1
bench,скамья,[bɛnʧ],Their bench costs a fortune,Путешествия и движение,B1
sightseeing,осмотр достопримечательностей,[ˈsaɪtˌsiːɪŋz],A good sightseeing makes all the difference,Путешествия и движение,B1
column,колонна,[ˈkɒləm],The best column I've ever seen,Путешествия и движение,B1
resort,курорт,[rɪˈzɔːt],That resort reminds me of home,Путешествия и движение,B1
car,автомобиль,[kɑː],This car comes from abroad,Путешествия и движение,A1
ship,корабль,[ʃɪp],The old ship still works perfectly,Путешествия и движение,B1
plane,самолет,[pleɪn],A new plane would be nice,Путешествия и движение,A2
driver,водитель,[ˈdraɪvə],The driver broke down yesterday,Путешествия и движение,A2
boat,лодка,[bəʊt],My favorite boat is missing,Путешествия и движение,A2
truck,грузовик,[trʌk],Her truck won first prize,Путешествия и движение,A2
vehicle,автомобиль,[ˈviːɪkl],The vehicle speaks for itself,Путешествия и движение,B1
flight,полет,[flaɪt],Every flight has its purpose,Путешествия и движение,A2
bus,автобус,[bʌs],The bus exceeded expectations,Путешествия и движение,A1
fuel,топливо,[fjʊəl],Our fuel brings joy daily,Путешествия и движение,B1
engine,двигатель,[ˈɛnʤɪn],That engine holds special meaning,Путешествия и движение,B1
ticket,билет,[ˈtɪkɪt],The ticket represents hope,Путешествия и движение,A1
train,поезд,[treɪn],This train symbolizes freedom,Путешествия и движение,A1
crew,экипаж,[kruː],A rare crew was discovered,Путешествия и движение,B1
accident,авария,[ˈæksɪdənt],The ancient accident survived centuries,Путешествия и движение,A2
pilot,пилот,[ˈpaɪlət],The modern pilot is innovative,Путешествия и движение,B1
wheel,колесо,[wiːl],A perfect wheel is hard to find,Путешествия и движение,A2
ride,поездка,[raɪd],The ride inspires creativity,Путешествия и движение,A2
passenger,пассажир,[ˈpæsɪnʤə],Our passenger promotes unity,Путешествия и движение,A2
airline,авиакомпания,[ˈeəlaɪn],The airline offers opportunities,Путешествия и движение,B1
bike,велосипед,[baɪk],This bike requires attention,Путешествия и движение,A2
transportation,транспортировка,[ˌtrænspɔːˈteɪʃən],The transportation deserves recognition,Путешествия и движение,B1
deck,палуба,[dɛk],Every deck contains wisdom,Путешествия и движение,B1
aircraft,воздушное судно,[ˈeəkrɑːft],The aircraft provides comfort,Путешествия и движение,B1
crash,авария,[kræʃ],A beautiful crash emerged,Путешествия и движение,B1
vessel,судно,[ˈvɛsl],The powerful vessel transformed lives,Путешествия и движение,B1
port,порт,[pɔːt],The delicate port needs care,Путешествия и движение,B1
top,верхний,[tɒp],This unique top stands out,Путешествия и движение,A1
right,правильный,[raɪt],The right is absolutely essential,Путешествия и движение,A1
local,местный,[ˈləʊkəl],My local needs replacing soon,Путешествия и движение,B1
available,доступный,[əˈveɪləbl],Her available caught everyone's attention,Путешествия и движение,A2
central,центральный,[ˈsɛntrəl],This central belongs to my friend,Путешествия и движение,B1
left,левый,[lɛft],Every left tells its own story,Путешествия и движение,A1
close,близкий,[kləʊs],The close arrived right on time,Путешествия и движение,A1
far,далекий,[fɑː],Our far has seen better days,Путешествия и движение,A1
deep,глубокий,[diːp],Your deep is quite impressive,Путешествия и движение,A2
middle,средний,[ˈmɪdl],Their middle costs a fortune,Путешествия и движение,A2
western,западный,[ˈwɛstən],A good western makes all the difference,Путешествия и движение,B1
southern,южный,[ˈsʌðən],The best southern I've ever seen,Путешествия и движение,B1
front,передний,[frʌnt],That front reminds me of home,Путешествия и движение,A2
eastern,восточный,[ˈiːstən],This eastern comes from abroad,Путешествия и движение,B1
northern,северный,[ˈnɔːðən],The old northern still works perfectly,Путешествия и движение,B1
internal,внутренний,[ɪnˈtɜːnl],A new internal would be nice,Путешествия и движение,B1
upper,верхний,[ˈʌpə],The upper broke down yesterday,Путешествия и движение,B1
vast,широкий,[vɑːst],My favorite vast is missing,Путешествия и движение,B1
limited,ограниченный,[ˈlɪmɪtɪd],Her limited won first prize,Путешествия и движение,B1
outside,внешний,[ˌaʊtˈsaɪd],The outside speaks for itself,Путешествия и движение,B1
nearby,находящийся поблизости,[ˈnɪəbaɪ],Keep nearbying until you succeed,Путешествия и движение,A2
inner,внутренний,[ˈɪnə],The inner exceeded expectations,Путешествия и движение,A2
biological,биологический,[ˌbaɪəʊˈlɒʤɪkəl],Our biological brings joy daily,Путешествия и движение,B2
distant,удаленный,[ˈdɪstənt],That distant holds special meaning,Путешествия и движение,B1
bottom,нижний,[ˈbɒtəm],The bottom represents hope,Путешествия и движение,B1
remote,удаленный,[rɪˈməʊt],This remote symbolizes freedom,Путешествия и движение,A2
external,внешний,[ɛksˈtɜːnl],A rare external was discovered,Путешествия и движение,B1
lost,потерянный,[lɒst],The ancient lost survived centuries,Путешествия и движение,A1
extensive,обширный,[ɪksˈtɛnsɪv],The modern extensive is innovative,Путешествия и движение,B2
natural,природный,[ˈnæʧrəl],A perfect natural is hard to find,Путешествия и движение,B1
environmental,относящийся к окружающей среде,[ɪnˌvaɪərənˈmɛntl],The environmental inspires creativity,Путешествия и движение,C2
fresh,свежий,[frɛʃ],Our fresh promotes unity,Путешествия и движение,A2
global,глобальный,[ˈgləʊbəl],The global offers opportunities,Путешествия и движение,A2
wild,дикий,[waɪld],This wild requires attention,Путешествия и движение,A1
growing,растущий,[ˈgrəʊɪŋ],The growing deserves recognition,Путешествия и движение,B1
living,живущий,[ˈlɪvɪŋ],Every living contains wisdom,Путешествия и движение,A2
racial,расовый,[ˈreɪʃəl],The racial provides comfort,Путешествия и движение,A2
solar,солнечный,[ˈsəʊlə],A beautiful solar emerged,Путешествия и движение,A2
existing,существующий,[ɪgˈzɪstɪŋ],The powerful existing transformed lives,Путешествия и движение,B1
here,здесь,[hɪə],The delicate here needs care,Путешествия и движение,A1
around,вокруг,[əˈraʊnd],This unique around stands out,Путешествия и движение,A2
forward,вперед,[ˈfɔːwəd],The forward is absolutely essential,Путешествия и движение,B1
close,близко,[kləʊs],My close needs replacing soon,Путешествия и движение,A1
forth,вперед,[fɔːθ],Her forth caught everyone's attention,Путешествия и движение,A2
anywhere,в любом месте,[ˈɛnɪweə],This anywhere belongs to my friend,Путешествия и движение,B1
deeply,глубоко,[ˈdiːpli],Every deeply tells its own story,Путешествия и движение,A2
ahead,вперед,[əˈhɛd],The ahead arrived right on time,Путешествия и движение,A2
somewhere,где-то,[ˈsʌmweə],Our somewhere has seen better days,Путешествия и движение,B2
everywhere,везде,[ˈɛvrɪweə],Your everywhere is quite impressive,Путешествия и движение,B2
back,назад,[bæk],Their back costs a fortune,Путешествия и движение,A1
there,там,[ðeə],A good there makes all the difference,Путешествия и движение,A1
far,далеко,[fɑː],The best far I've ever seen,Путешествия и движение,A1
away,вдали от чего-то,[əˈweɪ],That away reminds me of home,Путешествия и движение,A1
along,вдоль,[əˈlɒŋ],This along comes from abroad,Путешествия и движение,A2
below,ниже,[bɪˈləʊ],The old below still works perfectly,Путешествия и движение,A2
apart,отдельно от чего-то,[əˈpɑːt],A new apart would be nice,Путешествия и движение,A2
widely,широко,[ˈwaɪdli],The widely broke down yesterday,Путешествия и движение,A2
outside,вне,[ˌaʊtˈsaɪd],My favorite outside is missing,Путешествия и движение,B1
aside,в сторону,[əˈsaɪd],Her aside won first prize,Путешествия и движение,A2
closely,близко,[ˈkləʊsli],The closely speaks for itself,Путешествия и движение,B1
nowhere,никуда,[ˈnəʊweə],Every nowhere has its purpose,Путешествия и движение,B1
elsewhere,в другом месте,[ˈɛlsˈweə],The elsewhere exceeded expectations,Путешествия и движение,B2
around,вокруг,[əˈraʊnd],Our around brings joy daily,Путешествия и движение,A2
at,у,[æt],That at holds special meaning,Путешествия и движение,A1
by,около,[baɪ],The by represents hope,Путешествия и движение,A1
in,в,[ɪn],This in symbolizes freedom,Путешествия и движение,A1
above,над,[əˈbʌv],A rare above was discovered,Путешествия и движение,A2
among,среди,[əˈmʌŋ],The ancient among survived centuries,Путешествия и движение,A2
behind,позади,[bɪˈhaɪnd],The modern behind is innovative,Путешествия и движение,A2
beside,рядом с,[bɪˈsaɪd],A perfect beside is hard to find,Путешествия и движение,A2
between,между,[bɪˈtwiːn],The between inspires creativity,Путешествия и движение,B1
beyond,по ту сторону,[bɪˈjɒnd],Our beyond promotes unity,Путешествия и движение,A2
in front of,перед,[ɪn frʌntnɒv],The in front of offers opportunities,Путешествия и движение,C1
inside,внутри,[ɪnˈsaɪd],This inside requires attention,Путешествия и движение,A2
on,на,[ɒn],The on deserves recognition,Путешествия и движение,A1
out,вне,[aʊt],Every out contains wisdom,Путешествия и движение,A1
outside,снаружи,[ˌaʊtˈsaɪd],The outside provides comfort,Путешествия и движение,B1
under,под,[ˈʌndə],A beautiful under emerged,Путешествия и движение,A2
within,внутри,[wɪˈðɪn],The powerful within transformed lives,Путешествия и движение,A2
below,ниже,[bɪˈləʊ],The delicate below needs care,Путешествия и движение,A2
down,вниз,[daʊn],This unique down stands out,Путешествия и движение,A1
up,вверх,[ʌp],The up is absolutely essential,Путешествия и движение,A1
from,из,[frɒm],My from needs replacing soon,Путешествия и движение,A1
across,через,[əˈkrɒs],Her across caught everyone's attention,Путешествия и движение,A2
along,вдоль,[əˈlɒŋ],This along belongs to my friend,Путешествия и движение,A2
into,в,[ˈɪntuː],Every into tells its own story,Путешествия и движение,A1
to,к чему-то,[tuː],The to arrived right on time,Путешествия и движение,A1
toward,по направлению к,[təˈwɔːd],Our toward has seen better days,Путешествия и движение,A2
through,через,[θruː],Your through is quite impressive,Путешествия и движение,B1
over,через,[ˈəʊvə],Their over costs a fortune,Путешествия и движение,A1
off,из,[ɒf],A good off makes all the difference,Путешествия и движение,A1
out of,наружу,[aʊt ɒv],The best out of I've ever seen,Путешествия и движение,A2
via,через,[ˈvaɪə],That via reminds me of home,Путешествия и движение,A1
past,мимо,[pɑːst],This past comes from abroad,Путешествия и движение,A2
work,работать,[wɜːk],He works without thinking,Бизнес и экономика,A1
keep,хранить,[kiːp],We must keep together,Бизнес и экономика,A2
help,помогать,[hɛlp],Stop helping immediately!,Бизнес и экономика,A1
write,писать,[raɪt],I love to write on weekends,Бизнес и экономика,A1
provide,обеспечивать,[prəˈvaɪd],She refuses to provide anymore,Бизнес и экономика,B1
pay,платить,[peɪ],They began to pay slowly,Бизнес и экономика,A1
lead,лидировать,[liːd],Keep leading until you succeed,Бизнес и экономика,A1
create,создавать,[kri(ː)ˈeɪt],I forgot to create yesterday,Бизнес и экономика,B1
serve,служить,[sɜːv],She promised to serve soon,Бизнес и экономика,A2
build,строить,[bɪld],We learned to build properly,Бизнес и экономика,A2
develop,развивать,[dɪˈvɛləp],He tends to develop too much,Бизнес и экономика,A2
base,базировать,[beɪs],You should base more often,Бизнес и экономика,A1
realize,реализовать,[ˈrɪəlaɪz],I can't realize right now,Бизнес и экономика,B1
save,сохранять,[seɪv],She wants to save someday,Бизнес и экономика,A1
fail,терпеть неудачу,[feɪl],The modern fail is innovative,Бизнес и экономика,A1
check,проверять,[ʧɛk],I remember checking as a child,Бизнес и экономика,A2
design,разрабатывать,[dɪˈzaɪn],He enjoys designing alone,Бизнес и экономика,A2
claim,предъявлять претензии,[kleɪm],Our claim promotes unity,Бизнес и экономика,B1
establish,устанавливать,[ɪsˈtæblɪʃ],She started establishing early,Бизнес и экономика,B1
maintain,поддерживать,[meɪnˈteɪn],They continued maintaining despite difficulties,Бизнес и экономика,B1
head,руководить,[hɛd],I'm heading as we speak,Бизнес и экономика,A1
control,контролировать,[kənˈtrəʊl],He was controling all day,Бизнес и экономика,B1
apply,подавать заявление,[əˈplaɪ],The apply provides comfort,Бизнес и экономика,A2
manage,управлять,[ˈmænɪʤ],She has manageed many times,Бизнес и экономика,A2
perform,выполнять,[pəˈfɔːm],They had performed before,Бизнес и экономика,B2
improve,улучшать,[ɪmˈpruːv],I will improve tomorrow,Бизнес и экономика,A2
sign,подписывать,[saɪn],He would sign if he could,Бизнес и экономика,A1
test,проверять,[tɛst],I test every chance I get,Бизнес и экономика,A1
prevent,предотвращать,[prɪˈvɛnt],She prevents more than anyone I know,Бизнес и экономика,B1
publish,публиковать,[ˈpʌblɪʃ],They published all night long,Бизнес и экономика,B1
achieve,достигать,[əˈʧiːv],We should achieve before it's too late,Бизнес и экономика,B1
conduct,проводить,[kənˈdʌkt],He conducts like a professional,Бизнес и экономика,B2
attend,участвовать,[əˈtɛnd],You need to attend carefully,Бизнес и экономика,A2
complete,выполнять,[kəmˈpliːt],Please complete when you're ready,Бизнес и экономика,B1
handle,обращаться,[ˈhændl],Your handle is quite impressive,Бизнес и экономика,A2
handle,справляться,[ˈhændl],Their handle costs a fortune,Бизнес и экономика,A2
deliver,доставлять,[dɪˈlɪvə],She used to deliver all the time,Бизнес и экономика,B1
operate,управлять,[ˈɒpəreɪt],They'll operate tomorrow morning,Бизнес и экономика,B1
order,приказывать,[ˈɔːdə],Can you order for me?,Бизнес и экономика,A2
measure,измерять,[ˈmɛʒə],I wish I could measure better,Бизнес и экономика,B1
engage,входить в контакт,[ɪnˈgeɪʤ],The old engage still works perfectly,Бизнес и экономика,B2
hire,нанимать на работу,[ˈhaɪə],A new hire would be nice,Бизнес и экономика,A1
train,обучать,[treɪn],Stop training immediately!,Бизнес и экономика,A1
paint,красить,[peɪnt],I love to paint on weekends,Бизнес и экономика,A2
direct,руководить,[dɪˈrɛkt] [daɪˈrɛkt],She refuses to direct anymore,Бизнес и экономика,A2
solve,решать,[sɒlv],They began to solve slowly,Бизнес и экономика,A2
file,вносить в записи,[faɪl],Every file has its purpose,Бизнес и экономика,A1
employ,принимать на работу,[ɪmˈplɔɪ],The employ exceeded expectations,Бизнес и экономика,A2
make,делать,[meɪk],She promised to make soon,Бизнес и экономика,A1
try,пробовать,[traɪ],We learned to try properly,Бизнес и экономика,A2
happen,случаться,[ˈhæpən],The happen represents hope,Бизнес и экономика,A2
set,устанавливать,[sɛt],You should set more often,Бизнес и экономика,A1
seek,искать,[siːk],I can't seek right now,Бизнес и экономика,B2
fill,заполнять,[fɪl],She wants to fill someday,Бизнес и экономика,A1
pass,проходить,[pɑːs],They decided to pass together,Бизнес и экономика,A1
attempt,пытаться,[əˈtɛmpt],A perfect attempt is hard to find,Бизнес и экономика,B1
connect,подключать,[kəˈnɛkt],He enjoys connecting alone,Бизнес и экономика,B1
record,записывать,[rɪˈkɔːd],We finished recording at noon,Бизнес и экономика,A2
locate,обнаружить,[ləʊˈkeɪt],She started locateing early,Бизнес и экономика,A2
search,искать,[sɜːʧ],They continued searching despite difficulties,Бизнес и экономика,A2
select,выбирать,[sɪˈlɛkt],I'm selecting as we speak,Бизнес и экономика,A2
launch,запускать,[lɔːnʧ],He was launching all day,Бизнес и экономика,A2
adjust,настраивать,[əˈʤʌst],We've been adjusting for hours,Бизнес и экономика,A2
succeed,достигать цели,[səkˈsiːd],A beautiful succeed emerged,Бизнес и экономика,B1
review,пересматривать,[rɪˈvjuː],They had reviewed before,Бизнес и экономика,A2
arrange,организовывать,[əˈreɪnʤ],I will arrange tomorrow,Бизнес и экономика,B1
benefit,получать выгоду,[ˈbɛnɪfɪt],This unique benefit stands out,Бизнес и экономика,B1
coach,тренировать,[kəʊʧ],I coach every chance I get,Бизнес и экономика,A2
exercise,упражняться,[ˈɛksəsaɪz],My exercise needs replacing soon,Бизнес и экономика,C1
monitor,наблюдать,[ˈmɒnɪtə],They monitored all night long,Бизнес и экономика,B1
supply,обеспечивать,[səˈplaɪ],We should supply before it's too late,Бизнес и экономика,A2
assist,помогать,[əˈsɪst],He assists like a professional,Бизнес и экономика,A2
construct,строить,[kənˈstrʌkt],You need to construct carefully,Бизнес и экономика,B2
schedule,составлять график,[ˈʃɛdjuːl],Our schedule has seen better days,Бизнес и экономика,B1
assign,назначать,[əˈsaɪn],Don't assign unless absolutely necessary,Бизнес и экономика,B2
dismiss,увольнять,[dɪsˈmɪs],I've never dismissed anything like this,Бизнес и экономика,B2
practice,практиковаться,[ˈpræktɪs],A good practice makes all the difference,Бизнес и экономика,B1
illustrate,иллюстрировать,[ˈɪləstreɪt],They'll illustrate tomorrow morning,Бизнес и экономика,B2
enhance,улучшать,[ɪnˈhɑːns],Can you enhance for me?,Бизнес и экономика,C1
implement,выполнять,[ˈɪmplɪmɛnt],I wish I could implement better,Бизнес и экономика,B2
preserve,сохранять,[prɪˈzɜːv],He preserves without thinking,Бизнес и экономика,B1
guide,вести,[gaɪd],We must guide together,Бизнес и экономика,A2
deserve,заслуживать чего-то,[dɪˈzɜːv],The deserve broke down yesterday,Бизнес и экономика,B2
face,встретиться с чем-то,[feɪs] ([ˈsʌmθɪŋ]),My favorite face is missing,Бизнес и экономика,A1
cause,причинять что-либо,[kɔːz],Her cause won first prize,Бизнес и экономика,A2
cost,стоить,[kɒst],They began to cost slowly,Бизнес и экономика,A1
earn,зарабатывать,[ɜːn],Keep earning until you succeed,Бизнес и экономика,B2
make money,зарабатывать,[meɪk ˈmʌni],I forgot to make money yesterday,Бизнес и экономика,B2
promote,продвигать,[prəˈməʊt],She promised to promote soon,Бизнес и экономика,B1
charge,брать плату,[ʧɑːʤ],That charge holds special meaning,Бизнес и экономика,A2
estimate,оценивать,[ˈɛstɪmeɪt],He tends to estimate too much,Бизнес и экономика,B1
account,считать,[əˈkaʊnt],You should account more often,Бизнес и экономика,B1
invest,инвестировать,[ɪnˈvɛst],I can't invest right now,Бизнес и экономика,B2
assess,оценивать,[əˈsɛs],She wants to assess someday,Бизнес и экономика,A2
compete,конкурировать,[kəmˈpiːt],They decided to compete together,Бизнес и экономика,B1
purchase,покупать,[ˈpɜːʧəs],I remember purchaseing as a child,Бизнес и экономика,B1
evaluate,оценивать,[ɪˈvæljʊeɪt],He enjoys evaluateing alone,Бизнес и экономика,B1
trade,торговать,[treɪd],We finished tradeing at noon,Бизнес и экономика,A2
market,продвигать на рынке,[ˈmɑːkɪt],The market offers opportunities,Бизнес и экономика,A2
withdraw,снимать,[wɪðˈdrɔː],They continued withdrawing despite difficulties,Бизнес и экономика,B1
convert,конвертировать,[kənˈvɜːt],I'm converting as we speak,Бизнес и экономика,B1
spend,тратить,[spɛnd],He was spending all day,Бизнес и экономика,A2
